model,r,macro_f1,mcc
Llama-3.2-3B,4,0.8896,0.8810
Llama-3.2-3B,8,0.8945,0.8865
Llama-3.2-3B,16,0.8981,0.8907
Llama-3.2-3B,32,0.8967,0.8891
Mistral-7B,4,0.8777,0.8695
Mistral-7B,8,0.8289,0.8202
Mistral-7B,16,0.8975,0.8900
Mistral-7B,32,0.7451,0.7252
Gemma-2-9B,4,0.9082,0.9019
Gemma-2-9B,8,0.9048,0.8983
Gemma-2-9B,16,0.9014,0.8952
Gemma-2-9B,32,0.8747,0.8682
Qwen3-14B,4,0.8982,0.8901
Qwen3-14B,8,0.8979,0.8901
Qwen3-14B,16,0.8996,0.8920
Qwen3-14B,32,0.0835,0.0480
Phi-4,4,0.8960,0.8890
Phi-4,8,0.8986,0.8917
Phi-4,16,0.8872,0.8796
Phi-4,32,0.8372,0.8216
Gemma-3-27B,16,0.8466,0.8390
